,subject,summary,press,wdate,link
0,다시 비둘기 된 美 연준에 밸류업까지...증시 훈풍 ‘주목’,미국 연방준비제도(Fed·연준)가 ‘매파’(통화 긴축 선호)보다 ‘비둘기파’(통화 완화 선호)에 가까운 스탠스를 취하면서 향후,데일리안 ,2024-05-05 08:00:01,/news/news_read.naver?article_id=0002826923&office_id=119&mode=mainnews&type=&date=2024-05-05&page=4
1,형님 40% 오를 때 동생 30% 추락…대표도 5000원에 '줍줍' [윤현주의 主食이 주식],‘유니드 인적분할’ 유니드비티플러스 올 들어 주가 29.35% 하락 한상준 대표 지난달 1만주 장내 매수 자사주 20억 매입으로,한국경제 ,2024-05-05 07:02:01,/news/news_read.naver?article_id=0004980588&office_id=015&mode=mainnews&type=&date=2024-05-05&page=4
2,도돌이표 풋옵션 갈등…교보생명·FI 분쟁매듭 하세월,수년간 장기화된 신창재 교보생명 회장과 재무적투자자(FI) 간 주식매수청구권(풋옵션) 분쟁이 올가을 분수령을 맞을지 주목된다.,헤럴드경제 ,2024-05-05 07:02:01,/news/news_read.naver?article_id=0002304523&office_id=016&mode=mainnews&type=&date=2024-05-05&page=4
3,“신흥국 투자는 인도” 흔들리는 글로벌 증시 속 ‘나홀로 질주’,"미국의 기준금리 인하 지연 우려를 시작으로 강(强)달러 현상, 중동 전쟁 등에 의해 국내외 주식시장의 변동성이 높아지면서",데일리안 ,2024-05-05 07:00:06,/news/news_read.naver?article_id=0002826919&office_id=119&mode=mainnews&type=&date=2024-05-05&page=4
4,"'어린이날' 선물로 어때요?… 어린이펀드, 1년 평균 수익률 14%",어린이날을 맞아 자녀에게 선물할 수 있는 어린이펀드에 대한 관심이 높다. 투자에 대한 관심이 대중적으로 증가하면서 자녀의 미래를,머니S ,2024-05-05 06:53:00,/news/news_read.naver?article_id=0001000756&office_id=417&mode=mainnews&type=&date=2024-05-05&page=4
5,“아빠가 목돈 만들어줄게”… 어린이펀드 5년 수익률 평균 36%,자녀에게 목돈을 마련해주기 위해 가입하는 어린이펀드의 최근 5년 수익률이 평균 36%인 것으로 나타났다. 같은 기간,조선비즈 ,2024-05-05 06:01:25,/news/news_read.naver?article_id=0000990643&office_id=366&mode=mainnews&type=&date=2024-05-05&page=4
6,한국 상조업이 낯선 美 사모펀드... 프리드라이프 매각 길어지는 이유,국내 1위 상조업체 프리드라이프의 매각 절차가 길어지고 있다. 글로벌 사모펀드(PEF) 운용사 본거지와 한국의 문화 차이가,조선비즈 ,2024-05-05 06:01:07,/news/news_read.naver?article_id=0000990638&office_id=366&mode=mainnews&type=&date=2024-05-05&page=4
7,'바이 인 메이'의 시대?…4월 상승률보다 5월이 높았다,2020년대 들어 코스피지수의 5월 평균 상승률이 4월을 웃돌고 있다. 셀 인 메이(Sell in May· 5월엔 주식을,머니투데이 ,2024-05-05 06:00:00,/news/news_read.naver?article_id=0005034221&office_id=008&mode=mainnews&type=&date=2024-05-05&page=4
8,"버핏, 애플 지분 13% 팔았다…팀쿡 등장에 술렁 [오마하 현장 리포트]",'오마하의 현인' 워런 버핏이 이끌고 있는 벅셔 해서웨이가 지난해 1분기 주요 투자 기업인 애플 지분을 대폭 축소한 것으로,한국경제TV ,2024-05-05 02:06:01,/news/news_read.naver?article_id=0001160616&office_id=215&mode=mainnews&type=&date=2024-05-05&page=4
