순위,곡 제목,아티스트 명,앨범 명,좋아요
85,고민중독,QWER,1st Mini Album 'MANITO',"152,398"
86,내 이름 맑음,QWER,2nd Mini Album 'Algorithm's Blossom',"104,027"
87,PO￦ER,G-DRAGON,PO￦ER,"162,021"
88,How It’s Done,HUNTR/X,KPop Demon Hunters (Soundtrack from the Netflix Film),"50,202"
89,들꽃이 될게요,임영웅,IM HERO 2,"34,152"
90,LIKE YOU BETTER,프로미스나인,From Our 20's,"40,618"
91,있잖아,BOYNEXTDOOR,The Action,"26,623"
92,눈물참기,QWER,"3rd Mini Album '난 네 편이야, 온 세상이 불협일지라도'","38,303"
93,숲,최유리,유영,"179,071"
94,나는 아픈 건 딱 질색이니까,i-dle (아이들),2,"173,417"
95,그댈 위한 멜로디,임영웅,IM HERO 2,"33,816"
96,천국보다 아름다운,임영웅,천국보다 아름다운,"42,392"
97,비가 와서,임영웅,IM HERO 2,"33,331"
98,ATTITUDE,IVE (아이브),IVE EMPATHY,"66,260"
99,답장을 보낸지,임영웅,IM HERO 2,"34,156"
100,Supersonic,프로미스나인,Supersonic,"88,295"
